"difficulty","question","answer"
"simple","刘封、孟达带兵在山中做什么以迷惑敌人？","多立旌旗，以壮声势。"
"simple","曹操听闻汉中危机后，谁建议他必须亲自征讨？","长史刘晔。"
"simple","曹操率军亲征汉中时，乘坐的是什么颜色的马？","白马。"
"simple","曹操在蓝田拜访了谁的故居？","蔡邕庄，见到了其女蔡琰。"
"simple","关羽出征樊城前，谁因饮酒失火被责罚？","傅士仁、糜芳。"
"simple","蔡琰向曹操介绍了墙上图轴是什么碑文？","曹娥之碑。"
"simple","谁最先解出了“黄绢幼妇，外孙齑臼”的含义？","主簿杨修。"
"simple","“黄绢幼妇，外孙齑臼”八字隐语的谜底是什么？","“绝妙好辞”。"
"simple","夏侯渊初闻黄忠挑战时，采取了什么策略？","固守未曾出战。"
"simple","夏侯渊派谁去诱敌，并要求他只输不赢？","夏侯尚。"
"simple","黄忠用什么计策诱使夏侯渊出战？","反客为主之法（拔寨前进，步步为营）。"
"simple","黄忠用谁换回了被俘的部将陈式？","夏侯尚。"
"simple","黄忠射中夏侯尚哪个部位？","后心。"
"simple","法正建议黄忠夺取定军山西边的哪座山以俯视敌营？","对山。"
"simple","法正用什么颜色的旗帜作为信号指挥黄忠出击？","红旗。"
"simple","夏侯渊被黄忠斩杀时，战况如何？","措手不及，未及相迎被一刀砍为两段。"
"simple","谁在夏侯渊死后接应张郃，并告知定军山已被夺？","杜袭。"
"simple","刘封、孟达夺取了哪个重要地点？","定军山。"
"simple","碑文背面蔡邕所书八字是什么？","“黄绢幼妇，外孙齑臼。”"
"simple","诸葛亮用什么计策生擒了张任？","在金雁桥设伏，诱敌过桥后拆桥断路，再用伏兵围捕。"
"simple","关羽梦见什么动物咬了他的脚？","一头大如牛的黑猪。"
"simple","赵云认为应该先伐魏还是先伐吴？","先伐魏（曹操/曹丕）。"
"simple","刘备在哪里大会诸将，分八路水陆并进伐吴？","猇亭。"
"simple","与张苞交战的吴将夏恂是被谁所杀？","被张苞一矛刺死。"
"simple","韩当部将周平是被谁所杀？","被关兴一刀斩杀。"
"simple","老将黄忠为何不听劝阻，执意要与吴军交锋？","因刘备说“老将无用”，不服老要证明自己。"
"simple","黄忠阵前斩杀了潘璋手下哪位将领？","史迹。"
"simple","黄忠最终是如何受伤的？","被吴将马忠一箭射中肩窝。"
"simple","黄忠临终前对刘备说了什么？","劝刘备善保龙体，以图中原。"
"simple","甘宁最终是被谁射死的？","被蛮王沙摩柯一箭射中头颅。"
"simple","关兴在追击潘璋时，夜宿何处？看到了什么？","一庄院内，看到堂中供有关公神像。"
"simple","潘璋是如何死的？","在庄院遇关兴，见关公显圣惊吓，被关兴挥剑斩杀。"
"simple","关兴从潘璋处夺回了什么重要物品？","父亲关羽的青龙偃月刀。"
"simple","马忠是如何死的？","被叛变的糜芳、傅士仁刺杀。"
"simple","糜芳、傅士仁投降刘备后，下场如何？","被刘备下令剥衣跪于关公灵前，亲自剐杀。"
"simple","孙权为求和，送还了什么给刘备？","张飞首级，并绑缚范疆、张达二贼。"
"simple","张苞是如何处置杀父仇人范疆、张达的？","将二人万剐凌迟，祭奠父亲。"
"simple","面对蜀军的强大攻势，阚泽推荐了谁来担任东吴大都督？","陆逊（陆伯言）。"
"simple","孙权授予陆逊什么信物以示军权？","自己佩戴的宝剑，允许先斩后奏。"
"simple","陆逊采用了什么策略来应对蜀军的进攻？","坚守不出，避其锐气，等待时机。"
"simple","刘备将连营七百里的军寨移到了何处？","山林茂盛、靠近溪涧的地方，为了避暑。"
"simple","马良认为刘备移营之举有何风险？","担心吴兵骤然来袭，难以应对。"
"simple","孔明得知刘备沿江连营七百里后，第一反应是什么？","拍案叫苦，认为这是兵家大忌，预感祸事不远。"
"simple","孔明预料到陆逊会用什么计策攻击蜀军连营？","火攻。"
"simple","孔明预言刘备兵败后应该退守何处？","白帝城。"
"simple","陆逊决定火攻蜀营的关键信号是什么？","东南风大作。"
"simple","谁率军在马鞍山救了被围困的刘备？","张苞。"
"simple","吴将崔禹是如何被擒的？","中计去救孙桓营寨，被关兴、张苞伏兵夹击生擒。"
"simple","关兴是如何处置射冷箭的谭雄的？","生擒后斩首，沥血祭奠张苞的死马。"
"simple","在宜都之战中，谁用冷箭射中了张苞的坐骑？","吴将谭雄。"
"simple","孙桓手下哪两位将领被张苞、关兴所杀？","李异和谢旌。"
"simple","刘备为何不听赵云劝谏，执意要伐吴？","为关羽报仇，认为兄弟之仇大于汉贼之仇。"
"simple","刘备差使往何处借了五万番兵？","五溪。"
"simple","刘备迁升张飞为何官职？","车骑将军，领司隶校尉，封西乡侯，兼阆中牧。"
"simple","张飞在阆中闻知关羽被害后，情绪如何？","旦夕号泣，血湿衣襟，酒醉后怒气愈加，鞭挞士卒。"
"simple","张飞对手下将士下了什么紧急命令？","限三日内制办白旗白甲，三军挂孝伐吴。"
"simple","鞭打范疆、张达后，张飞对他们下了什么最后通牒？","来日俱要完备！若违了限，即杀汝二人示众！"
"simple","范疆、张达是如何杀害张飞的？","趁张飞酒醉熟睡时，用短刀刺入其腹部。"
"simple","张飞去世时多少岁？","五十五岁。"
"simple","范疆、张达杀了张飞后投奔了何处？","东吴（孙权处）。"
"simple","张飞的长子是谁？他做了什么？","张苞。具棺椁盛殓父亲，然后去向刘备报信。"
"simple","孔明认为如果谁在，就能劝阻刘备东征？","法正（法孝直）。"
"simple","刘备夜观天象，看到什么预兆？","西北方向一颗大星如斗，忽然坠地。"
"simple","关羽出征樊城，谁担任先锋？","廖化。"
"simple","孔明如何解读刘备看到的天象？","预示将损失一位上将，三日内必有惊报。"
"simple","关羽的儿子是谁？","关兴。"
"simple","刘备在哪里遇到了自称能知吉凶的隐者李意？","成都青城山之西。"
"simple","李意画了什么给刘备，预示了什么？","画兵马器械后撕碎，又画大人卧地旁人埋之，上写“白”字。"
"simple","张苞和关兴为争夺先锋职位，比试了什么武艺？","张苞射箭（中红心），关兴射雁（中第三只）。"
"simple","刘备最终任命谁为伐吴先锋？","吴班。"
"simple","孙权派谁去蜀国求和？","诸葛瑾。"
"simple","刘备拒绝诸葛瑾求和的理由是什么？","杀弟之仇不共戴天，必须报仇。"
"simple","孙权派谁去向魏国曹丕称臣求助？","中大夫赵咨。"
"simple","赵咨如何评价孙权？","聪明、仁智、雄略之主。"
"simple","曹丕最终封孙权为什么王爵？","吴王，并加九锡。"
"simple","东吴哪位将领反对孙权受魏国封爵，当场痛哭？","徐盛。"
"simple","孙权任命谁为左都督，谁为右都督抵御蜀军？","孙桓为左都督，朱然为右都督。"
"simple","刘备听闻张飞死讯后反应如何？","放声大哭，昏绝于地。"
"simple","赵云是从哪条路进入西川与刘备会合的？","溯江而上。"
"simple","严颜投降后，对张飞快速进军起到了什么作用？","作为前部，所到关隘皆劝降守将，兵不血刃。"
"simple","严颜被俘后为何投降张飞？","感于张飞不杀之恩和敬重其忠义。"
"simple","韩玄手下的著名老将是谁？","黄忠。"
"simple","黄忠擅长使用什么兵器？","刀和弓（能开二石力之弓）。"
"simple","关羽和黄忠第一次交手多少回合不分胜负？","一百余合。"
"simple","关羽为何没有趁黄忠马失前蹄时杀他？","敬重其勇武，欲公平决胜（义气）。"
"simple","黄忠为报关羽不杀之恩，用箭射向关羽何处？","盔缨根上。"
"simple","谁救下了险被韩玄斩首的黄忠？","魏延。"
"simple","魏延为何杀韩玄？","称韩玄残暴不仁，轻贤慢士。"
"simple","孙权在合淝与谁交战？","曹操军（主要是张辽）。"
"simple","孙权在阵前被谁突袭险些丧命？","乐进。"
"simple","谁射杀了孙权部将宋谦？","李典。"
"simple","谁献计在合淝城内放火，欲刺杀张辽？","太史慈（通过戈定与内应联络）。"
"simple","太史慈在合淝城中计，身中数箭后最终结局如何？","伤重而亡。"
"simple","刘琦病亡后，谁代表东吴前来吊丧并索要荆州？","鲁肃。"
"simple","诸葛亮和刘备用什么理由再次拖延归还荆州？","刘璋是同宗，不忍攻伐西川，无处安身。"
"simple","鲁肃与刘备签订的关于荆州的文书，保人是谁？","诸葛亮和鲁肃自己。"
"simple","周瑜为夺回荆州，向孙权献了什么计策？","美人计（假意将孙权妹妹嫁给刘备，诱其入吴）。"
"simple","谁作为媒人去荆州向刘备提亲？","吕范。"
"simple","诸葛亮为保刘备入吴安全，给了赵云什么？","三个锦囊妙计。"
"simple","刘备到南徐后，第一个锦囊让赵云做了什么？","让随行军士大肆采办婚礼用品，传扬婚事。"
"simple","谁帮助刘备在吴国太面前说了好话？","乔国老。"
"simple","吴国太在何处相看刘备？","甘露寺。"
"simple","刘备在甘露寺用剑砍什么祈祷？","石块。"
"simple","孙权妹妹闺名（演义中提及）？","孙夫人（通常称为孙尚香）。"
"simple","刘备夫妇用什么借口离开南徐？","借口到江边祭祀刘备先祖。"
"simple","周瑜最后一次试图夺取荆州的计策是什么？","假途灭虢（假装伐蜀，途经荆州时夺取）。"
"simple","长沙太守是谁？","韩玄。"
"simple","最终谁射杀了金旋？","巩志（一箭射中面门）。"
"simple","张飞与金旋交战，金旋战况如何？","不敢交锋，拨马便走。"
"simple","谁劝金旋投降刘备但被拒绝？","从事巩志。"
"simple","曹仁派谁守彝陵，以为掎角之势？","曹洪。"
"simple","谁率五百军出战东吴，被丁奉诱入阵中围困？","牛金。"
"simple","在南郡城上望见牛金被围，谁亲自出城救援？","曹仁。"
"simple","曹仁救出牛金后，谁引兵接应混战？","曹仁之弟曹纯。"
"simple","谁建议周瑜先取彝陵再图南郡？","甘宁。"
"simple","甘宁被围在彝陵，谁自告奋勇突围入城报信？","周泰。"
"simple","周瑜用何计策诱曹仁出城劫寨？","诈死之计，令军士诈降报信。"
"simple","周瑜大败曹仁后，谁已提前占领了南郡？","赵云（奉诸葛亮命）。"
"simple","谁用计袭取了荆州？","张飞（奉诸葛亮命）。"
"simple","谁用计袭取了襄阳？","关羽（奉诸葛亮命）。"
"simple","周瑜得知三郡皆失，气得如何？","金疮迸裂，大叫一声。"
"simple","谁奉命前往江东，向刘备讨还荆州？","鲁肃。"
"simple","识破周瑜假途灭虢之计的是谁？","诸葛亮。"
"simple","诸葛亮以谁尚在为由，暂时不还荆州？","刘琦。"
"simple","孙权攻打何处受挫，令周瑜班师回援？","合淝。"
"simple","谁向刘备建议先取荆南四郡作为根本？","马良。"
"simple","马良建议先取哪一郡？","零陵。"
"simple","零陵太守是谁？","刘度。"
"simple","零陵守将邢道荣使用的是什么兵器？","开山大斧。"
"simple","邢道荣被谁生擒？","张飞追击，赵云拦截，最终投降赵云。"
"simple","赵云计取桂阳时，桂阳太守是谁？","赵范。"
"simple","赵范手下两位自称勇猛的猎户将领是谁？","陈应、鲍隆。"
"simple","陈应擅长使用什么兵器？","飞叉。"
"simple","赵范欲将谁嫁给赵云？","他的寡嫂樊氏。"
"simple","赵云为何拒绝赵范的婚事提议？","认为这是乱伦，且怀疑赵范用心。"
"simple","武陵太守是谁？","金旋。"
"simple","鲁肃回报周瑜后，认为刘琦何时会死？","不过半年。"
"simple","周瑜在最后一次失败后，气绝前喊出的名言是什么？","既生瑜，何生亮！"
"simple","周瑜死后推荐谁接替自己的都督职位？","鲁肃。"
"simple","谁发现了庞统的大才并向刘备举荐？","张飞。"
"simple","谁明确反对曹操进位魏公，并因此触怒曹操？","荀彧。"
"simple","荀彧最终结局如何？","曹操送去空食盒，荀彧会意服毒自尽。"
"simple","曹操在濡须前线称赞谁“生子当如孙仲谋”？","孙权。"
"simple","曹操在濡须与孙权对峙时做了什么梦？","梦见三日并出，其中一红日落入己方山中。"
"simple","孙权写给曹操的书信背面批了哪两行字？","足下不死，孤不得安。"
"simple","张昭建议用什么计策让刘璋与刘备互相攻伐？","修书给刘璋说刘备联合东吴取西川，并写信给张鲁让其进攻荆州。"
"simple","刘备以何理由向刘璋请求增兵增粮？","推称需回援荆州，抵抗曹操对孙权的攻击。"
"simple","刘璋手下谁极力反对资助刘备军马钱粮？","杨怀和刘巴。"
"simple","庞统向刘备提供了哪三条取蜀计策？","上计：奇袭成都；中计：诱杀杨高夺关取涪城；下计：退回荆州。"
"simple","张松写给刘备的密信是如何败露的？","被其兄张肃偶然拾得并告发。"
"simple","刘备是如何诱杀杨怀、高沛二将的？","假称回荆州，邀二人送行，席间擒杀。"
"simple","刘备夺取涪水关后，在宴会上因何话语失当而斥责庞统？","酒后说“今日之会，可为乐乎？”被庞统批评伐人之国不应为乐。"
"simple","曹操手下谁首先提议尊曹操为魏公，加九锡？","董昭。"
"simple","刘璋派去守雒城的四位将领是谁？","刘璝、泠苞、张任、邓贤。"
"simple","魏延和黄忠争夺攻打泠苞、邓贤营寨的头功，庞统如何解决？","让两人各打一寨，先得者为头功。"
"simple","魏延在进攻泠苞营寨时中了埋伏，被谁射伤了坐骑并险些被杀？","邓贤。（实为魏延马失前蹄，邓贤欲刺杀，被黄忠射死邓贤救下）"
"simple","是谁射杀了邓贤？","黄忠。"
"simple","泠苞最终是如何被擒获的？","被魏延伏兵用搭钩活捉。"
"simple","刘备释放泠苞后，泠苞返回雒城做了什么？","谎称杀敌逃回，并未提及被擒之事，继续抵抗。"
"simple","庞统死于何地？因何而死？","落凤坡。被张任军乱箭射死。"
"simple","庞统临死前骑的是谁的马？为何换马？","刘备的白马。因自己的马突然失蹄，刘备将爱马换给庞统。"
"simple","庞统死后，谁率军救了被围困的魏延？","黄忠。"
"simple","诸葛亮是如何得知庞统死讯的？","夜观天象，看到将星坠落。"
"simple","诸葛亮入川前，将荆州托付给谁？并留下哪八字方针？","关羽。北拒曹操，东和孙权。"
"simple","张飞奉命入川途中，遇到的第一个强硬抵抗来自哪位老将？","巴郡太守严颜。"
"simple","张飞用什么计策最终擒获了严颜？","佯装放弃攻城去偷袭小路，诱使严颜出城设伏，然后反包围擒获。"
"simple","在锦屏山，紫虚上人给了刘璝等人哪八句预言？","“左龙右凤，飞入西川。雏凤坠地，卧龙升天。一得一失，天数当然。见机而作，勿丧九泉。”"
"simple","最终是谁杀出重围，救刘备脱险退入白帝城？","赵云。"
"simple","吕蒙建议在何处筑坞以防御曹操？","濡须水口。"
"simple","曹操因何事兴兵四十万攻打孙权？","报赤壁之仇。"
"simple","马腾与谁密谋诛杀曹操？","侍郎黄奎。"
"simple","谁向曹操告发了马腾与黄奎的密谋？","黄奎的小舅子苗泽。"
"simple","马腾的哪个儿子随他一同遇害？","马休、马铁。"
"simple","马超起兵复仇，与谁联合？","韩遂。"
"simple","曹操在潼关之战中，因军士呼喊什么而割须弃袍？","“长髯者是曹操！”、“短髯者是曹操！”"
"simple","在潼关之战中，谁赤裸上身与马超酣战？","许褚。"
"simple","曹操用了谁的计策离间了马超和韩遂？","贾诩。"
"simple","贾诩建议如何离间马超和韩遂？","写一封涂改过的信给韩遂，让马超生疑。"
"simple","马超愤怒中砍伤了韩遂的哪个部位？","左手。"
"simple","刘璋因畏惧谁的侵犯而想请刘备入川？","张鲁。"
"simple","谁作为刘璋的使者前往荆州邀请刘备入川？","法正。"
"simple","谁是张松在蜀中的另外一位心腹好友？","孟达。"
"simple","张纮临终前上书建议孙权迁都何处？","秣陵（后来的建业）。"
"simple","谁力谏刘璋不要请刘备入川，甚至口衔刘璋衣袍被顿落门牙？","黄权。"
"simple","庞统和法正劝刘备在宴席上做什么事？","就席间杀刘璋。"
"simple","刘备拒绝在宴席上杀刘璋的首要原因是什么？","初入蜀中，恩信未立。"
"simple","谁在刘备与刘璋的宴会上舞剑意图刺杀刘璋？","魏延。"
"simple","谁出来与魏延对舞以保护刘璋？","张任。"
"simple","刘备最终如何阻止了宴会上的舞剑冲突？","亲自拔剑制止，声称兄弟相逢无疑忌，非鸿门宴。"
"simple","刘璋派遣哪两位将领守把涪水关以防刘备？","杨怀、高沛。"
"simple","孙权想趁刘备入蜀时夺取荆州，谁出面阻止了他？","吴国太（孙权的母亲）。"
"simple","张昭建议用什么计策诱骗孙夫人带阿斗回东吴？","诈称吴国太病危，让孙夫人带阿斗回去探望。"
"simple","孙权派去接孙夫人和阿斗的心腹将领是谁？","周善。"
"simple","谁在江边及时发现并试图阻止孙夫人带走阿斗？","赵云。"
"simple","赵云是如何登上孙夫人的大船的？","跳上渔船追赶，然后跃身跳上大船。"
"simple","赵云夺回阿斗后，谁率船队前来截住并杀了周善？","张飞。"
"simple","谁倒悬城门，死谏刘璋不要迎刘备？","王累。"
"simple","赵云在救援刘备途中，斩杀了哪位吴将？","朱然。"
"simple","蜀将傅彤是如何战死的？","断后被围，力战不降，吐血而亡。"
"simple","第九十一回中，孔明班师回国途经泸水时，天气如何？","阴云布合，狂风骤起。"
"simple","谁在朝堂上指责孙綝废黜孙亮而被杀？","尚书桓彝。"
"simple","孙綝废黜孙亮后，迎立谁为吴主？","琅琊王孙休。"
"simple","孙休登基后，如何对待孙綝？","表面加封丞相、荆州牧，内实防之。"
"simple","谁向孙休密告孙綝有谋反之意？","左将军张布。"
"simple","孙休与谁定计，最终除掉了孙綝？","老将丁奉。"
"simple","丁奉用何计策擒拿孙綝？","腊日设宴，于席间发难擒拿。"
"simple","孙綝被杀后，东吴派谁出使蜀国回贺？","薛珝。"
"simple","薛珝从蜀国回来后，如何描述蜀国朝政状况？","黄皓用事，朝无直言，民有菜色，国将危。"
"simple","姜维听闻吴蜀联盟及司马昭动向后，再次决定伐魏，先锋是谁？","廖化、张翼。"
"simple","邓艾如何在祁山击败了蜀军王含、蒋斌的左寨？","预先挖地道，派兵从地道杀出，内外夹击。"
"simple","邓艾与姜维斗阵，布的是什么阵法？","八卦阵。"
"simple","姜维将八阵变为长蛇卷地阵困住邓艾，是谁救了邓艾？","司马望。"
"simple","司马望为何能识破姜维的长蛇卷地阵？","幼年曾与崔州平、石广元讲论此阵，知其阵头在西北。"
"simple","邓艾用何计策诱使姜维再次斗阵，实则偷袭其后？","让司马望斗阵，自己引兵袭山后。"
"simple","姜维识破邓艾偷袭之计，派谁埋伏击败了邓艾？","张翼、廖化。"
"simple","邓艾用什么反间计让后主召回了姜维？","派党均到成都勾结黄皓，散布姜维欲降魏的谣言。"
"simple","姜维回成都后，后主如何解释召他回朝的原因？","说怕军士劳苦，并无他意。"
"simple","姜维想杀黄皓，后主是什么态度？","不同意，认为黄皓只是小臣，让姜维不要介意。"
"simple","谁建议姜维去沓中屯田以避祸？","秘书郎郤正。"
"simple","魏主曹髦作了什么诗，表露对司马昭的不满？","《潜龙诗》。"
"simple","曹髦决定讨伐司马昭，向哪三位大臣求助？","侍中王沈、尚书王经、散骑常侍王业。"
"simple","谁向司马昭告发了曹髦的计划？","王沈、王业。"
"simple","谁在曹髦讨伐司马昭时，伏于辇前哭谏阻止？","尚书王经。"
"simple","是谁直接动手刺杀了魏主曹髦？","成济。"
"simple","司马昭如何处置弑君的成济？","归罪于他，将其剐杀，灭三族。"
"simple","孙亮密谋除掉孙綝，此事被谁泄露？","全尚之妻（孙綝之姊）。"
"simple","吴主孙亮通过什么方法识破黄门在蜂蜜中放鼠粪？","检查鼠粪内外干湿程度。"
"simple","东吴孙綝因何事大怒，杀了全端、唐咨等人的家眷？","听知全端、唐咨等将领降魏。"
"simple","姜维最终因何事从长城撤兵？","得知诸葛诞已败，司马昭将引兵来救，且接到后主诏书。"
"simple","姜维决定此次伐魏，首先要攻取的目标是哪里？","陇西。"
"simple","姜维在祁山谷口用什么计策迷惑邓艾？","虚张旗号，每日更换旗帜衣甲，主力偷袭南安。"
"simple","邓艾识破姜维之计后，认为姜维会去偷袭何处？","南安。"
"simple","邓艾将计就计，派兵埋伏在何处伏击姜维？","段谷。"
"simple","姜维在段谷遭遇伏击，是哪位将军舍命救出？","荡寇将军张嶷。"
"simple","张嶷是如何战死的？","为救姜维，被魏兵乱箭射死。"
"simple","姜维因段谷之败，上表自贬为何职？","后将军，行大将军事。"
"simple","司马昭派谁去淮南试探诸葛诞？","贾充。"
"simple","贾充以什么名义去见诸葛诞？","慰劳出征军士。"
"simple","诸葛诞听到贾充试探其对司马氏代魏的看法后，反应如何？","大怒，表示要以死报国。"
"simple","诸葛诞得知司马昭要调他为司空后，杀了谁？","扬州刺史乐綝。"
"simple","诸葛诞派谁的儿子去东吴作为人质求援？","长史吴纲之子诸葛靓。"
"simple","曹髦死后，司马昭立谁为新皇帝？","常道乡公曹璜（后改名曹奂）。"
"simple","东吴当时由谁辅政掌权？","孙綝。"
"simple","司马昭讨伐诸葛诞时，带了谁一同出征以保无虞？","魏国太后及天子曹髦。"
"simple","司马昭大军的先锋是谁？","镇南将军王基。"
"simple","钟会建议司马昭如何围困寿春？","三面围城，留南门放守军逃跑再击之。"
"simple","东吴将领于诠是如何牺牲的？","拒绝投降，力战而死于寿春城下。"
"simple","司马昭如何处置投降的诸葛诞部卒？","问降否，不降者皆杀，后又令人埋葬。"
"simple","诸葛诞死后，淮南平定，姜维趁机引兵去攻打魏国何处？","长城。"
"simple","姜维读了谯周的《仇国论》后反应如何？","大怒，认为是腐儒之论，掷之于地。"
"simple","姜维出兵长城，认为应先夺取何处？","骆谷，度沈岭，攻取长城烧其粮草。"
"simple","长城守将是谁？","司马望，司马昭的族兄。"
"simple","蜀将傅佥用什么兵器打死了魏将李鹏？","四楞铁简。"
"simple","邓艾派谁去帮助司马望守长城？","其子邓忠。"
"simple","邓艾用何计策应对姜维的挑战，拖延时间等待援军？","坚守不出，屡次推脱会战。"
"simple","东吴派去援助诸葛诞的主将是谁？","全怿、全端。"
"simple","姜维听闻曹髦被杀、曹奂被立，以何名义再次伐魏？","问司马昭弑君之罪。"
"simple","魏将王瓘诈降姜维，自称是谁的侄子？","王经。"
"simple","姜维如何识破王瓘的诈降？","认为司马昭杀王经灭族，不会留其侄在外领兵。"
"simple","邓艾用什么计策击败了诸葛瞻？","诱敌深入，设下埋伏，两面夹击。"
"simple","诸葛瞻战败后如何结局？","力竭后大呼“以一死报国”，拔剑自刎。"
"simple","诸葛尚见父亲战死，最终结局如何？","叹曰“父子荷国厚恩，父死，何用生为”，策马杀出阵亡。"
"simple","后主决定投降时，谁极力反对并最终殉国？","第五子北地王刘谌。"
"simple","北地王刘谌是如何殉国的？","杀死妻子三子后，到昭烈庙哭拜，随后自刎。"
"simple","后主刘禅投降时，蜀汉有多少户籍人口和兵力？","户二十八万，男女九十四万，带甲将士十万二千。"
"simple","姜维得知后主投降后，如何安抚部下并计划复兴汉室？","假意投降钟会，计划利用钟会野心，挑起内斗以图恢复。"
"simple","钟会用什么方法除去了邓艾父子？","假传司马昭命令，令卫瓘先收捕邓艾，自己随后带兵控制局面。"
"simple","姜维建议钟会如何谋反？","诈称郭太后遗诏，讨伐弑君的司马昭。"
"simple","钟会的谋反计划是如何败露的？","心腹将丘建将消息透露给被囚的胡烈，胡烈通知儿子胡渊起兵。"
"simple","钟会最终的结局是什么？","被哗变的魏军乱箭射死，枭首。"
"simple","姜维最终结局如何？","在钟会被杀后，拔剑奋战，心疼病发，大叫“吾计不成，乃天命也”，自刎而死。"
"simple","诸葛瞻初次对阵魏军，使用了什么方法惊退了师纂、邓忠？","用车载诸葛亮木像，摆出八阵，使魏军误以为孔明尚在。"
"simple","魏兵剖开姜维腹部，发现了什么？","其胆大如鸡卵。"
"simple","司马炎是如何取代魏国建立晋朝的？","逼迫魏主曹奂效仿汉献帝禅让，建立西晋。"
"simple","西晋建立后，如何处置退位的魏主曹奂？","封为陈留王，迁往金墉城居住。"
"simple","吴主孙休死后，谁被拥立为新的吴主？","乌程侯孙皓。"
"simple","孙皓是个什么样的君主？","凶暴、酷溺酒色、奢侈无度、滥杀忠臣。"
"simple","羊祜在襄阳镇守期间，采取了哪些与民生息的措施？","减戍卒垦田，与吴将陆抗互示诚信，维持边境和平。"
"simple","羊祜病逝前向司马炎推荐了谁来主持伐吴大业？","右将军杜预。"
"simple","杜预伐吴的总战略是什么？","认为吴国已弱，应趁势快速进击，如破竹之势一举拿下。"
"simple","东吴用什么方法试图阻止王濬的水军顺流而下？","设置铁链横江和水下铁锥。"
"simple","王濬是如何破解东吴的铁链和铁锥防御的？","用大筏清除铁锥，用火炬烧断铁链。"
"simple","东吴丞相张悌是如何战死的？","拒绝逃跑，力战晋军，死于乱军之中。"
"simple","孙皓最终的结局是什么？","向王濬投降，被迁往洛阳，封为归命侯。"
"simple","刘禅被迁到洛阳后，司马昭问他是否思念蜀国，他如何回答？","“此间乐，不思蜀也。”"
"simple","司马昭死后，谁继承了他的晋王之位？","长子司马炎。"
"simple","姜维反驳樊建，认为攻魏有几项可胜之道？","五项可胜之道。"
"simple","诸葛瞻的先锋是谁？","其子诸葛尚。"
"simple","马邈的妻子李氏得知丈夫想投降后，有何反应？","怒斥其不忠不义，随后自缢身亡。"
